figure_name,embryo_image,,Contrast RR ,Correlation RR,Energy RR,Homogeneity RR,Contrast TE,Correlation TE,Energy TE ,Homogeneity TE,DC1,Mean DC1,LC1,Mean LC1,DC2,Mean DC2,LC2,Mean LC2,Radius ER,Sum ER,Mean grey ER,Deviation RR,Mean grey RR,Mode value RR,Dark RR,Mean Count RR,Bright RR,Deviation TE,Mean grey TE, Mode grey TE,Dark TE,Mean Count TE,Bright TE,WSN,Area ICM,Convex ICM,Eccen ICM,Mean ICM,MFA Classification,TGA Classification,BLC Classification,Modal value
blq11,,,0.312006861,0.968825031,0.133967785,0.885699379,0.328083596,0.961381489,0.518956262,0.922532256,24,98.68382798,26,192.3394495,3,124.8749064,0,0,170,0.161996602,108.7447588,75.8952632,104.6052261,10,0.28260591,0.058326807,0.013656105,72.44699053,40.17495534,10,1.235329299,0.035599858,0.062940548,641,0.090495822,0.113032498,0.79659965,77.40745301,1,1,1,1
blq12,,,0.200020629,0.974189901,0.182728692,0.936478129,0.315603469,0.965680257,0.467675537,0.928717419,0,0,1,131.8025478,0,0,0,0,183,0.136652072,109.0881944,68.05875341,107.1000758,10,0.251242918,0.065852186,0.001849925,75.58366448,46.17912835,255,1.185981681,0.031423029,0.065312624,493,0.051367263,0.066245321,0.72428119,129.4812654,2,2,1,2
blq13,,,0.292981515,0.969201084,0.134717528,0.895036383,0.487844219,0.953684168,0.392087837,0.896737934,10,90.65748393,15,189.804893,0,0,0,0,147,0.23232836,100.9586833,74.15509808,98.36642481,10,0.294159043,0.067558058,0.018491106,80.46489536,53.56912719,255,1.307287243,0.069475115,0.118250868,520,0.095744572,0.118813094,0.838746547,94.55010661,1,1,1,1
blq14,,,0.297435897,0.975950647,0.160004056,0.913211044,0.503187546,0.95328596,0.37968117,0.897409015,0,0,0,0,0,0,0,0,143,0.202405176,106.8434841,84.08516824,106.1588692,10,0.325706772,0.033188692,0.041998685,80.72401855,57.15569098,10,1.308086785,0.049283366,0.069112426,417,0.147261489,0.181499597,0.813444565,166.8760493,1,1,1,1
blq15,,,0.302550014,0.97192522,0.157211261,0.891793044,0.537427793,0.949727771,0.333496252,0.89074273,9,99.73752013,11,202.954736,0,0,1,189.1146067,130,0.237564651,95.89833187,78.41177429,88.42039845,10,0.351948461,0.062672876,0.040614824,80.48594239,58.18915937,255,1.343685445,0.107139106,0.115262071,528,0.116403952,0.169730605,0.881366397,38.13949895,3,3,3,3
blq16,,,0.243384207,0.970809243,0.148273073,0.91034286,0.299984947,0.963949562,0.467634535,0.917432349,6,65.21865443,10,188.7799263,0,0,3,169.5406162,183,0.145805299,104.9081329,70.09655026,108.4338512,150,0.242459504,0.065216529,0.008965289,72.00253555,43.24713079,255,1.205990083,0.038267769,0.064502479,676,0.064827121,0.09121943,0.912999703,116.0658757,2,2,2,2
blq17,,,0.315808626,0.969978357,0.123881034,0.893992829,0.333845942,0.969377515,0.40976398,0.913877869,0,0,0,0,0,0,0,0,160,0.211899886,114.2082723,78.37730417,113.0730917,10,0.2622757,0.080776492,0.037241853,81.88041951,55.94222738,255,1.237771972,0.036631643,0.087336245,493,0.077531522,0.100521228,0.865831423,144.4822671,2,2,2,2
blq18,,,0.289237596,0.969898218,0.1162797,0.894908609,0.457960238,0.950330927,0.436243865,0.901448495,14,97.84993447,19,176.8778368,1,84.90965732,0,0,170,0.165058545,102.1383124,74.47624555,101.1572233,10,0.25154433,0.063257044,0.023322204,75.39745376,47.54218115,255,1.228270512,0.044273479,0.070095644,662,0.037313491,0.046950287,0.680500349,55.84924101,2,1,2,2
blq19,,,0.260852464,0.966262573,0.156360301,0.909592601,0.268494025,0.971997434,0.417188853,0.919360431,1,74.32110092,4,154.2018349,0,0,1,147.3438202,164,0.172232443,104.129441,67.63574939,101.7642116,10,0.26705122,0.073118624,0.001958376,77.18297752,50.62397479,255,1.225747298,0.039523581,0.088037886,473,0.074471177,0.098896262,0.844823524,90.79023085,2,2,2,2
blq20,,,0.22800328,0.968512589,0.181813668,0.924374044,0.354193598,0.95694941,0.461626397,0.918243049,1,43.24203822,0,0,0,0,0,0,181,0.125969527,106.2449874,66.11194531,110.555371,150,0.234174371,0.082583298,0.001443335,71.71379765,43.84981699,255,1.207132256,0.037104615,0.056644109,669,0.045749203,0.060525899,0.911338792,129.1051047,2,1,1,1
blq21,,,0.335368591,0.955965687,0.133858288,0.877788592,0.322662451,0.966838295,0.434071977,0.913722529,22,78.99749059,26,154.1242061,1,86.94080997,3,163.4183007,175,0.199955774,103.2074367,66.98196538,96.78609442,10,0.267676391,0.073135463,0.004859796,77.69516523,49.90172494,255,1.195390647,0.034629776,0.08018664,643,0.05461182,0.074147517,0.770836474,53.90290479,2,2,1,2
blq22,,,0.28668451,0.959021677,0.128333219,0.893498124,0.356895165,0.956443605,0.442720373,0.902709028,11,58.43478261,7,191.3643892,1,61.57209302,0,0,168,0.163113516,91.45856984,64.14598314,89.62380675,10,0.25577676,0.077417743,0.003215327,71.50531172,43.5366184,255,1.2472803,0.058442316,0.072203249,594,0.070755802,0.099258084,0.896007371,69.96287989,3,3,3,3
blq23,,,0.269687592,0.973461745,0.1683713,0.920466542,0.38999593,0.964026604,0.446576308,0.915047445,0,0,1,238.9541284,0,0,0,0,176,0.155393921,119.6174869,77.32279885,120.0458302,10,0.261710779,0.046270607,0.010760265,81.54278485,53.14883808,255,1.205384536,0.02272427,0.075277814,633,0.070836451,0.086950836,0.911300744,78.82779487,2,2,2,2
blq24,,,0.324054726,0.971732697,0.1304973,0.899099532,0.474096457,0.95566258,0.379195489,0.90308724,0,0,0,0,0,0,0,0,146,0.196726142,106.6475715,81.13427765,106.8842603,10,0.290388852,0.055666939,0.03163288,80.86561224,55.3981885,255,1.282938541,0.075963466,0.113462538,425,0.087147569,0.110792899,0.751028883,44.74528414,2,3,2,2
blq25,,,0.306537757,0.968559178,0.16066834,0.906218754,0.431188356,0.962586197,0.413024023,0.908727227,2,48.17431193,1,241.1834862,0,0,0,0,159,0.179155546,118.0222512,75.755818,118.7589707,10,0.253934678,0.057889732,0.01040191,83.92845761,57.1056235,255,1.251120728,0.036212618,0.099710842,495,0.059232713,0.078199156,0.90345553,83.20529211,2,2,2,2
blq26,,,0.305091998,0.971653123,0.143291286,0.907960332,0.343242193,0.968962835,0.429273639,0.914969855,0,0,0,0,0,0,0,0,169,0.186354105,115.7688982,78.91634307,114.3883525,10,0.269697913,0.051123605,0.021144421,82.27497172,53.93278095,255,1.218738219,0.033421298,0.088986871,439,0.064268845,0.082205431,0.817987567,109.6917348,2,2,1,2
blq27,,,0.314294135,0.959840075,0.130150672,0.890662551,0.342287342,0.962916183,0.438700219,0.910554257,7,70.01179554,10,157.1495413,2,65.88651685,2,147.4001848,176,0.168567774,101.1457375,67.655064,96.11265249,10,0.260198764,0.082426858,0.009277609,75.69266638,48.02392026,255,1.199219037,0.03872521,0.070316055,634,0.054351538,0.071635632,0.840929429,59.53950007,2,3,2,2
blq28,,,0.297932919,0.970336995,0.135282504,0.89565224,0.316668433,0.97051233,0.433691545,0.915919917,23,92.12917454,14,174.6635611,4,91.39269663,1,164.9205176,169,0.207306544,113.8977978,76.6085422,113.2672065,10,0.257470209,0.055827829,0.01360455,81.19693132,52.97379567,255,1.222458981,0.029716927,0.09265846,412,0.062189582,0.080251709,0.811662288,51.6347464,2,3,2,2
blq29,,,0.354449918,0.96596098,0.130727126,0.884594925,0.534033734,0.948033078,0.374781608,0.892770325,0,0,0,0,0,0,0,0,133,0.19742087,97.77110716,77.09385216,97.97351837,10,0.299297959,0.064195918,0.025991837,78.99866591,54.9301958,10,1.395722449,0.080555102,0.100212245,418,0.162154509,0.243176362,0.864341591,163.2752259,3,3,3,3
blq30,,,0.310193871,0.974810028,0.136521323,0.901938437,0.388079342,0.964643101,0.417524365,0.905647308,1,56.05504587,1,98.95412844,0,0,0,0,169,0.19673002,117.3035864,84.13667034,115.9339606,10,0.282319002,0.045419528,0.049107509,82.01678846,55.01001153,255,1.202675015,0.034158895,0.081233916,658,0.083782533,0.112586211,0.680209067,84.80146095,1,1,1,1
blq31,,,0.306948716,0.973651256,0.144803844,0.895485815,0.533665317,0.949751949,0.341024809,0.887658643,11,92.24933687,7,196.887287,0,0,1,215.3172691,135,0.212940144,103.4031592,81.51109333,100.9433226,10,0.320308355,0.040947536,0.027589651,80.65685405,58.49728445,255,1.317530664,0.087824974,0.118005056,508,0.080901809,0.108487686,0.754725528,120.8675448,2,2,2,2
blq32,,,0.309116005,0.975757458,0.143881189,0.912621987,0.382171415,0.965285163,0.437335197,0.917209386,0,0,0,0,0,0,1,211.4929972,172,0.192165176,124.4617209,85.82770379,129.6818104,10,0.25454233,0.044743708,0.056320205,82.01142963,53.54002159,255,1.213157525,0.027636739,0.083472637,542,0.063838991,0.079373753,0.907210303,137.2496434,2,3,2,2
blq33,,,0.261388829,0.979142493,0.151165601,0.91540774,0.293305942,0.972982035,0.409694841,0.923060454,6,88.85990338,1,222.8807339,2,72.54831461,2,198.9629213,164,0.202068077,111.7822387,84.34249444,108.1329025,10,0.308675604,0.038544393,0.031725685,81.7895456,54.69411479,255,1.212804216,0.049173031,0.093058449,403,0.094095956,0.114177512,0.799783109,168.2840247,2,2,2,2
blq34,,,0.274351609,0.975219382,0.14922757,0.909600127,0.343253652,0.963807268,0.469729206,0.921219375,30,101.7262997,14,179.1422018,4,105.8256303,2,196.3966292,177,0.170813809,120.1020782,80.38305157,126.0246041,191,0.239826621,0.050751168,0.016005274,76.45805342,47.33630109,10,1.212024295,0.024604076,0.054552596,517,0.06454228,0.093933339,0.896530655,158.3187528,2,3,2,2
blq35,,,0.369591268,0.964273725,0.132100236,0.876657783,0.332102774,0.964210324,0.442579096,0.91692667,26,86.61079746,18,175.0433673,6,91.78256795,0,0,170,0.195237406,109.0799593,77.37335058,111.8667763,173,0.256431348,0.046289576,0.018660989,75.84808275,48.37567546,255,1.232254318,0.037370365,0.06436993,599,0.07601586,0.10423569,0.917209623,47.54251301,2,3,1,
blq36,,,0.264984181,0.972734884,0.158362522,0.924257667,0.304001416,0.971679432,0.439545747,0.934988806,0,0,0,0,0,0,0,0,177,0.193257759,117.9473553,75.57610584,117.2501988,10,0.252034871,0.064147234,0.017175324,81.26743258,52.8927124,255,1.190952594,0.025864188,0.08016597,399,0.061245319,0.080457705,0.814968544,124.7948598,1,2,1,1
blq37,,,0.267587804,0.976946345,0.142059275,0.914700335,0.35311934,0.963191336,0.455485356,0.915406695,1,15.10810811,6,197.3381643,1,28.96404494,1,195.8629213,182,0.192327438,119.1589296,82.29323147,126.3051564,10,0.246937434,0.054408351,0.036965477,76.84692048,47.79250051,255,1.194581975,0.033973353,0.066725704,570,0.04205496,0.056030105,0.75593823,157.9168423,1,2,1,1
blq38,,,0.28420771,0.966931478,0.150337727,0.906230464,0.407216819,0.957399403,0.456229301,0.907175632,1,23.01834862,0,0,0,0,0,0,179,0.156646493,112.095089,71.29144239,114.9209135,175,0.229418283,0.063726522,0.005989704,76.79083532,47.91486791,255,1.212206652,0.033230933,0.06016356,699,0.037852936,0.053324796,0.93354824,142.0033457,3,3,3,3
blq39,,,0.257905085,0.972826169,0.158528677,0.915365024,0.330251282,0.967119336,0.461398008,0.923319186,0,0,0,0,0,0,0,0,182,0.15030446,116.6316584,74.73728215,119.7659569,174,0.236740061,0.058728817,0.0077017,78.62604434,48.90952348,255,1.200364959,0.03220223,0.072548941,615,0.056609562,0.081730736,0.866498208,145.8068401,1,2,1,1
blq40,,,0.275591089,0.972446392,0.148920145,0.906526566,0.322683903,0.967426777,0.460719419,0.919839749,0,0,0,0,0,0,0,0,181,0.183984494,118.1842374,76.83423267,122.6840185,180,0.237074659,0.058863578,0.012445364,78.13190193,48.77207818,255,1.204422598,0.02634768,0.070845985,484,0.054119219,0.07112792,0.832552002,157.1839358,2,3,2,2
blq41,,,0.332930826,0.972681959,0.142266565,0.882433374,0.550567676,0.950256367,0.348740859,0.885379357,22,118.8205342,15,183.1155963,1,123.8687616,2,209.0644258,139,0.222377043,106.0561066,83.40455317,101.890789,10,0.327204095,0.057508079,0.046012182,82.17375967,59.48101761,255,1.294117647,0.079784952,0.106179759,669,0.101078121,0.149712614,0.920624367,39.99237326,2,3,2,2
blq42,,,0.249555226,0.970966022,0.16076906,0.911344853,0.290374332,0.967113413,0.470688372,0.929033995,7,63.8757764,5,212.4055046,2,49.71962617,1,164.1214953,188,0.157479818,111.0824036,71.26512542,113.6152662,169,0.237993229,0.062246845,0.009996922,73.86525957,45.32602311,255,1.188377962,0.031480456,0.045527855,512,0.052042942,0.062137478,0.805121789,152.0506158,2,3,2,2
blq43,,,0.293359804,0.977840637,0.162708261,0.920596418,0.416147358,0.963928119,0.434844442,0.912749491,0,0,0,0,0,0,0,0,179,0.158663188,128.0980392,87.47445093,129.5255509,10,0.267137988,0.033174824,0.039346884,83.9413379,55.73158675,255,1.176787443,0.022864678,0.076828122,617,0.056188392,0.07919566,0.847334297,192.1260957,1,2,1,1
blq44,,,0.234618752,0.979009733,0.167107573,0.932315492,0.258911298,0.974324369,0.477932874,0.940634611,0,0,0,0,0,0,0,0,195,0.164240367,125.0388842,80.92899718,129.7327994,10,0.241585665,0.04848939,0.021610497,78.79584517,48.48122204,255,1.167000369,0.022427042,0.061509379,398,0.049927966,0.063760977,0.910974335,161.6940852,1,1,1,1
blq45,,,0.265892521,0.981930027,0.173903009,0.925709061,0.34051208,0.966769931,0.492531063,0.928685019,0,0,0,0,0,0,0,0,202,0.150659711,135.9653098,92.33253651,147.0273454,222,0.242831916,0.036317611,0.122273372,79.06545615,47.17584617,255,1.162969919,0.023231839,0.059192193,634,0.044257778,0.059017823,0.770253513,71.39083218,2,2,2,2
blq46,,,0.391619271,0.958624488,0.114834973,0.865358079,0.355080883,0.962348123,0.421013626,0.911379533,18,108.8430173,12,158.9293937,2,108.7134935,2,134.2226891,168,0.219198942,109.3355937,74.30488857,111.1209329,171,0.245647647,0.081482716,0.012694711,76.54501253,49.84621074,255,1.211162016,0.044164931,0.073619325,813,0.04659393,0.064177743,0.915785395,169.9177452,2,3,1,
blq47,,,0.288955932,0.974653532,0.161517138,0.910768712,0.294185224,0.968747034,0.463858681,0.92499609,2,57.97101449,1,187.8807339,1,32.44817927,1,143.7647059,185,0.155746307,120.3809608,81.40919868,127.7572744,10,0.24921314,0.045400239,0.013463342,76.29775758,47.15694656,255,1.190683573,0.031667116,0.06089336,431,0.054764375,0.069355873,0.882387647,158.0330638,1,2,1,1
blq48,,,0.256789594,0.979442187,0.169967516,0.920510292,0.324174425,0.969586014,0.445759559,0.915170316,4,87.85144928,5,198.3014493,0,0,0,0,178,0.191755485,120.5555644,84.63152948,123.7314062,10,0.272894268,0.036354575,0.019409042,80.84596047,51.59485023,255,1.197351371,0.032894268,0.081480954,690,0.075960889,0.092814222,0.799168536,177.4757536,1,1,1,1
blq49,,,0.252868217,0.977656751,0.175261488,0.921981477,0.373703194,0.959815176,0.482412972,0.920593942,10,69.43623188,4,201.9891304,1,37.77871148,1,193.3875969,196,0.139326862,122.3306493,81.31914214,129.2455602,185,0.242922264,0.038708182,0.022692906,75.66650422,45.61874922,255,1.17482147,0.024116732,0.046986236,694,0.036271393,0.046441828,0.851561081,181.1891627,2,2,1,2
blq50,,,0.298701995,0.973090369,0.125988896,0.898343354,0.441211234,0.958436764,0.423709807,0.90529437,6,58.1763285,19,166.4393593,0,0,4,153.4516807,164,0.193771853,112.2932881,79.99241316,114.2665527,10,0.25239901,0.051273834,0.017892432,80.63226411,52.30821386,255,1.241681354,0.04733928,0.091260304,514,0.033477564,0.048625933,0.795886938,149.3358968,3,3,2,3
blq51,,,0.22809853,0.978802607,0.162481956,0.935047803,0.32692751,0.964435519,0.449610136,0.943122043,0,0,0,0,0,0,0,0,175,0.164346642,117.533682,79.57028161,126.1515481,10,0.244182406,0.059882828,0.008228858,75.482894,47.85424586,255,1.21113281,0.031305437,0.06049403,245,0.064754225,0.083056088,0.819003664,47.88749008,3,3,3,3
blq52,,,0.289970411,0.973783614,0.167790765,0.910923752,0.500189949,0.948204214,0.425775146,0.902459969,0,0,0,0,0,0,0,0,167,0.162675994,111.0421503,79.88503319,116.0989517,10,0.282985317,0.035817711,0.009839286,77.25314803,49.10561011,255,1.22671002,0.055784179,0.080492472,617,0.07201727,0.092513382,0.905856691,105.0678627,1,1,1,1
blq53,,,0.19764728,0.98034063,0.155963092,0.930910368,0.411263629,0.955109127,0.419930916,0.917345442,0,0,0,0,0,0,0,0,161,0.144511043,101.9894605,76.18412393,105.241431,10,0.289556043,0.068083432,0.00942636,75.30096236,47.34359139,255,1.245872454,0.075691985,0.083975188,339,0.115186488,0.140151873,0.912898953,127.9342243,1,3,2,
blq54,,,0.249364494,0.975329879,0.198449963,0.924911768,0.486880579,0.945318542,0.460567075,0.906395155,2,39.30275229,0,0,1,35.32773109,0,0,181,0.13811468,114.5008633,76.97783605,122.8231506,174,0.249288545,0.04301412,0.004248308,74.2113711,44.90155079,255,1.209923612,0.04331368,0.060211598,724,0.045549424,0.062013902,0.828077166,161.8401391,2,2,1,2
blq55,,,0.25529081,0.980269969,0.187658313,0.922478056,0.387612253,0.962557815,0.412838321,0.919560639,0,0,0,0,0,0,0,0,162,0.17679031,113.5093311,85.85004893,117.3579731,10,0.314778316,0.023816979,0.021293448,79.73625934,52.11849054,255,1.222291809,0.061946251,0.089134079,374,0.09878537,0.118998037,0.86438115,45.37351575,1,1,1,1
blq56,,,0.252272118,0.980735457,0.168032367,0.930701935,0.37160675,0.962810656,0.459072636,0.927695578,0,0,0,0,0,0,0,0,189,0.155773218,125.8763588,86.76805601,132.1148976,10,0.264274181,0.039359468,0.046085299,78.23215251,49.27373724,255,1.166640362,0.027656036,0.052446916,460,0.071061932,0.092050581,0.853455444,105.6809821,1,1,1,1
blq57,,,0.265211023,0.979443364,0.187414013,0.920592546,0.34469517,0.96387437,0.52347277,0.925111352,3,47.96618357,1,221.2568807,1,15.025,0,0,211,0.142771504,134.1553929,87.14449048,147.2074735,219,0.224842782,0.040388459,0.069486405,76.27460923,42.9837453,10,1.173127299,0.024853734,0.051441663,725,0.030887336,0.039566847,0.748158159,183.1569835,1,1,1,1
blq58,,,0.329780214,0.968564656,0.146168632,0.896692245,0.477520665,0.946291109,0.415501671,0.908832555,0,0,5,184.1926606,0,0,1,194.7352025,145,0.220402156,97.44879731,77.67283362,105.1793137,10,0.292745133,0.04762506,0.011615868,73.79039469,47.20934855,255,1.351354764,0.080199995,0.083406985,308,0.12298782,0.158544632,0.927532819,126.3072469,2,2,2,2
blq59,,,0.273610571,0.9745697,0.144050825,0.90939023,0.399364647,0.957389873,0.438677681,0.91670408,0,0,0,0,0,0,0,0,170,0.182725295,109.2766335,78.90519084,113.3190755,10,0.26730214,0.046725053,0.019015822,76.16608631,48.05749167,255,1.225754423,0.049112111,0.072208513,485,0.071050038,0.087057053,0.709653867,159.6679043,1,2,1,1
blq60,,,0.280239582,0.974610062,0.151564197,0.921307747,0.383434256,0.96208088,0.408428966,0.920228569,0,0,0,0,0,0,0,0,145,0.193029776,110.2303971,80.01364639,120.9655059,10,0.264791293,0.069139668,0.015302644,78.0584101,52.81308892,10,1.336405646,0.062649933,0.056286457,210,0.017909322,0.027000136,0.906611336,164.2725146,3,3,3,3
blq61,,,0.307810419,0.97261234,0.126717201,0.904575458,0.385487376,0.963180748,0.420782638,0.920575095,0,0,0,0,0,0,0,0,162,0.184492138,107.9909517,80.26241124,107.0663118,10,0.270183647,0.052257363,0.037724032,80.02062116,52.37251387,255,1.241264345,0.046326143,0.085505351,302,0.102380811,0.134000289,0.557674717,154.3048568,2,3,2,2
blq62,,,0.249613245,0.971688096,0.145447512,0.911370535,0.439239791,0.95227538,0.450850113,0.908578879,0,0,2,167.5642202,0,0,0,0,169,0.16899033,104.5844993,71.91995861,108.474012,10,0.254175613,0.072726975,0.006097461,75.36227219,46.10330284,255,1.254224787,0.053238047,0.071399302,639,0.080644022,0.095057631,0.913129968,125.7661996,1,1,1,1
blq63,,,0.308643933,0.974775403,0.161258764,0.927733973,0.398295033,0.959283693,0.373765372,0.929416631,0,0,0,0,0,0,0,0,143,0.238222627,105.6847399,83.82313665,109.0138856,10,0.315345168,0.034661407,0.029270217,77.18808415,54.1786642,255,1.283523997,0.082498356,0.061880342,222,0.150755173,0.196936307,0.729778831,165.535154,1,2,1,1
blq64,,,0.287493107,0.96931303,0.137800727,0.9028245,0.383675637,0.958980077,0.463263679,0.91485312,1,96.74522293,0,0,0,0,0,0,177,0.169675863,109.9715269,74.05351149,114.535341,166,0.241003918,0.06471107,0.01153696,75.96750828,46.27133674,255,1.226214055,0.044123813,0.067790484,497,0.055387446,0.074729208,0.895342922,86.1846613,1,2,1,1
blq65,,,0.286134163,0.971123789,0.140661537,0.906005565,0.465256798,0.94741933,0.441846092,0.91056628,0,0,0,0,0,0,0,0,166,0.167079191,104.6565475,75.83843904,111.316007,10,0.258983144,0.057195985,0.008384842,74.13506509,45.48308248,255,1.253163685,0.057919113,0.082471032,583,0.081160056,0.106111152,0.792651878,147.2478248,1,1,1,1
blq66,,,0.224256718,0.977249459,0.177830852,0.928935293,0.413702554,0.952766137,0.454477355,0.917911556,0,0,0,0,0,0,1,212.541573,178,0.115402906,110.4619242,76.05915913,118.1227341,10,0.257814169,0.054126023,0.004713421,73.61085032,44.62365404,255,1.210936276,0.053584906,0.061530794,518,0.073344,0.093845333,0.890124868,146.5285049,1,1,1,1
blq67,,,0.264301875,0.976535539,0.143993389,0.918665046,0.365112704,0.956221001,0.458400695,0.923339996,0,0,0,0,0,0,0,0,182,0.134554251,111.0288459,80.76739514,118.5462035,10,0.266017255,0.063129788,0.027693918,72.03345647,44.0714508,255,1.193776919,0.039018369,0.055924539,591,0.07520673,0.092876766,0.781216076,117.0002719,1,1,1,1
blq68,,,0.218616401,0.974122989,0.148931241,0.917889569,0.343500724,0.958074036,0.456143655,0.92060077,0,0,0,0,0,0,0,0,170,0.183430202,97.43937139,70.08113736,100.7570846,10,0.266415058,0.06449896,0.00525798,71.29813097,43.03547654,255,1.25285076,0.059466783,0.058724859,368,0.115757947,0.138329156,0.578453018,132.4586769,2,2,1,2
blq69,,,0.257737039,0.975620944,0.144503575,0.918377287,0.326897051,0.964148009,0.467009631,0.925230991,0,0,1,189.866242,0,0,0,0,179,0.161832279,106.9765396,77.91776964,109.9384758,176,0.258581268,0.042489024,0.01743607,74.90868708,45.33158361,255,1.219837563,0.05009188,0.057596544,335,0.093126667,0.128214509,0.837015917,65.76397703,2,2,1,2
blq70,,,0.236963985,0.977564982,0.154011294,0.920699503,0.387347053,0.95517474,0.442159656,0.922405009,0,0,0,0,0,0,0,0,170,0.171909367,105.071423,78.07047508,110.8654699,10,0.280753536,0.045596039,0.01116111,73.28361366,44.94827751,255,1.227867292,0.067998903,0.068644054,454,0.094777353,0.118667608,0.874114411,147.1266476,1,1,1,1
blq71,,,0.301438399,0.966504426,0.128215432,0.895315505,0.480553201,0.944312926,0.447211669,0.903986001,0,0,0,0,0,0,0,0,169,0.16887888,102.3900976,72.71058128,108.0625809,10,0.252159517,0.088741005,0.017325313,73.02248341,44.26674533,255,1.249995902,0.061548296,0.06384304,730,0.072091582,0.085422404,0.815918674,120.8475185,1,2,1,1
