# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT,DIP,DIP.1,target_pregnant,et_month,et_dayofweek,opu_lag_days,freeze_lag_days
26.0,DZF,DZF,DZF,2025-05-22,DZF,50,Local crossbred,Cow,,right,15.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,6.0,1.0,,7.0,,Pregnant,,,,2025-05-14,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,272.0,1.0,2025-05,3.0,8.0,
28.0,DZF,DZF,DZF,2025-05-22,DZF,8,Local crossbred,Cow,,left,12.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,8.0,1.0,,7.0,,Pregnant,,,,2025-05-14,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,272.0,1.0,2025-05,3.0,8.0,
29.0,DZF,DZF,DZF,2025-05-22,DZF,10,Local crossbred,Cow,,right,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-05-14,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,8.0,
30.0,DZF,DZF,DZF,2025-05-22,DZF,13,Local crossbred,Cow,,right,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,8.0,1.0,,7.0,,Open,,,,2025-05-14,609,Grey Brahman,2.3,CAUCHITOS KARU SIMON 922/6,,Conventional,Grey Brahman,,,,0.0,2025-05,3.0,8.0,
31.0,DZF,DZF,DZF,2025-05-22,DZF,15,Local crossbred,Cow,,right,17.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-05-14,967,Grey Brahman,3.0,NCC Jackpot,,Conventional,Grey Brahman,,,272.0,1.0,2025-05,3.0,8.0,
32.0,DZF,DZF,DZF,2025-06-20,DZF,R4,Local crossbred,Cow,,,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-06-13,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-243.0,243.0,1.0,2025-06,4.0,7.0,
33.0,DZF,DZF,DZF,2025-06-20,DZF,3,Local crossbred,Cow,,,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-06,4.0,7.0,
34.0,DZF,DZF,DZF,2025-06-20,DZF,4,Local crossbred,Cow,,,15.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-06,4.0,7.0,
35.0,DZF,DZF,DZF,2025-06-20,DZF,7,Local crossbred,Cow,,,15.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-06,4.0,7.0,
36.0,DZF,DZF,DZF,2025-06-20,DZF,20,Local crossbred,Cow,,,14.0,CIDR+E2+PGF+ECG,Fresh,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,609,Grey Brahman,2.3,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-06,4.0,7.0,
37.0,DZF,DZF,DZF,2025-06-20,DZF,22,Local crossbred,Cow,,,16.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,597,Grey Brahman,2.9,NCC Jackpot,,Conventional,Grey Brahman,,,,0.0,2025-06,4.0,7.0,
38.0,DZF,DZF,DZF,2025-06-21,DZF,35,Local crossbred,Cow,,left,11.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-06-13,967,Grey Brahman,3.0,Commando 888/47,,Conventional,Red Brahman,,,242.0,1.0,2025-06,5.0,8.0,
39.0,DZF,DZF,DZF,2025-06-21,DZF,51,Local crossbred,Cow,,left,14.0,CIDR+E2+PGF+ECG,Fresh,,,Yaseen,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,612,Grey Brahman,2.2,Commando 888/47,,Conventional,Red Brahman,,,,0.0,2025-06,5.0,8.0,
40.0,DZF,DZF,DZF,2025-06-21,DZF,42,Local crossbred,Cow,,right,13.0,CIDR+E2+PGF+ECG,Fresh,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-06-13,612,Grey Brahman,2.2,Commando 888/47,,Conventional,Red Brahman,,,,0.0,2025-06,5.0,8.0,
41.0,DZF,DZF,DZF,2025-07-14,DZF,49,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,991,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,0.0,7.0,
42.0,DZF,DZF,DZF,2025-07-14,DZF,37,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,0.0,7.0,
43.0,DZF,DZF,DZF,2025-07-14,DZF,27,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,991,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,0.0,7.0,
44.0,DZF,DZF,DZF,2025-07-14,DZF,25,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,0.0,7.0,
45.0,DZF,DZF,DZF,2025-07-14,DZF,48,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,0.0,7.0,
46.0,DZF,DZF,DZF,2025-07-15,DZF,16,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,602,Grey Brahman,2.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
47.0,DZF,DZF,DZF,2025-07-15,DZF,21,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
48.0,DZF,DZF,DZF,2025-07-15,DZF,40,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,608,Grey Brahman,1.9,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
49.0,DZF,DZF,DZF,2025-07-15,DZF,46,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
50.0,DZF,DZF,DZF,2025-07-15,DZF,R3,Local crossbred,Cow,,,,CIDR+E2+PGF+ECG,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,D2,Nukra,,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
51.0,DZF,DZF,DZF,2025-07-15,DZF,22,Local crossbred,Cow,,,,Natural heat,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,D1,Nukra,,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-07,1.0,8.0,
52.0,DZF,DZF,DZF,2025-09-12,DZF,66,Local crossbred,Cow,,right,14.6,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
54.0,DZF,DZF,DZF,2025-09-12,DZF,55,Local crossbred,Cow,,right,19.0,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
55.0,DZF,DZF,DZF,2025-09-12,DZF,60,Local crossbred,Cow,,right,15.6,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
56.0,DZF,DZF,DZF,2025-09-12,DZF,58,Local crossbred,Cow,,left,15.8,CIDR+GnRH+PGF+GnRH,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-09-04,D2,Nukra,,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,8.0,
58.0,DZF,DZF,DZF,2025-09-12,DZF,67,Local crossbred,Cow,,right,14.4,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,8.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
59.0,DZF,DZF,DZF,2025-09-12,DZF,64,Local crossbred,Cow,,left,14.8,CIDR+GnRH+PGF+GnRH,Fresh,,,Masroor,Hamid,,8.0,1.0,,7.0,,Open,,,,2025-09-04,D2,Nukra,,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,8.0,
60.0,DZF,DZF,DZF,2025-09-12,DZF,70,Local crossbred,Cow,,right,19.4,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
61.0,DZF,DZF,DZF,2025-09-12,DZF,59,Local crossbred,Cow,,right,16.0,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
62.0,DZF,DZF,DZF,2025-09-12,DZF,71,Local crossbred,Cow,,right,15.0,CIDR+GnRH+PGF+GnRH,Frozen,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-08-30,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,4.0,13.0,
64.0,DZF,DZF,DZF,2025-09-27,DZF,DZ 88,Local crossbred,Cow,,right,17.2,Natural heat,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-09-18,2/4,Red Brahman,2.8,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,5.0,9.0,
65.0,DZF,DZF,DZF,2025-09-27,DZF,DZ 81,Local crossbred,Cow,,left,16.5,Natural heat,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Pregnant,,,,2025-09-18,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,144.0,1.0,2025-09,5.0,9.0,
66.0,DZF,DZF,DZF,2025-09-27,DZF,32210,Local crossbred,Cow,,right,15.0,Natural heat,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-09-18,2/4,Red Brahman,2.8,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,5.0,9.0,
67.0,DZF,DZF,DZF,2025-09-27,DZF,31645,Local crossbred,Cow,,right,15.6,Natural heat,Fresh,,,Masroor,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-09-18,2/4,Red Brahman,2.8,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-09,5.0,9.0,
68.0,DZF,DZF,DZF,2025-10-01,DZF,DZ 42,Local crossbred,Cow,,right,16.7,Natural heat,Frozen,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-26,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,2.0,67.0,
69.0,DZF,DZF,DZF,2025-10-01,DZF,DZ 13,Local crossbred,Cow,,right,17.2,Natural heat,Frozen,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-07,602,Grey Brahman,2.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,2.0,86.0,
70.0,DZF,DZF,DZF,2025-10-01,DZF,DZ 10,Local crossbred,Cow,,left,17.0,Natural heat,Frozen,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-06,991,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,2.0,87.0,
71.0,DZF,DZF,DZF,2025-10-01,DZF,DZ 22,Local crossbred,Cow,,right,15.7,Natural heat,Frozen,,,Hamid,Hamid,,7.0,1.0,,7.0,,Open,,,,2025-07-24,991,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,2.0,69.0,
72.0,DZF,DZF,DZF,2025-10-26,DZF,165,Local crossbred,Cow,,left,10.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
73.0,DZF,DZF,DZF,2025-10-26,DZF,166,Local crossbred,Cow,Yes,left,21.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8.0,1.0,,7.0,,Open,,,,2025-10-18,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
74.0,DZF,DZF,DZF,2025-10-26,DZF,133,Local crossbred,Cow,,right,15.1,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
75.0,DZF,DZF,DZF,2025-10-26,DZF,132,Local crossbred,Cow,Yes,right,22.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
76.0,DZF,DZF,DZF,2025-10-26,DZF,162,Local crossbred,Cow,Yes,right,14.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
77.0,DZF,DZF,DZF,2025-10-26,DZF,164,Local crossbred,Cow,Yes,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8.0,1.0,,7.0,,Open,,,,2025-10-18,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
78.0,DZF,DZF,DZF,2025-10-26,DZF,168,Local crossbred,Cow,,right,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
79.0,DZF,DZF,DZF,2025-10-26,DZF,169,Local crossbred,Cow,Yes,left,18.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
80.0,DZF,DZF,DZF,2025-10-26,DZF,173,Local crossbred,Cow,,right,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
81.0,DZF,DZF,DZF,2025-10-26,DZF,182,Local crossbred,Cow,Yes,right,15.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
82.0,DZF,DZF,DZF,2025-10-26,DZF,187,Local crossbred,Cow,,left,16.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,602,Grey Brahman,2.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
83.0,DZF,DZF,DZF,2025-10-26,DZF,190,Local crossbred,Cow,Yes,right,12.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
84.0,DZF,DZF,DZF,2025-10-26,DZF,195,Local crossbred,Cow,,right,11.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
